CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_CTMAX	AGE_DAYS	TRAY_COL	DEV_TEMP	TANK	REP	EXP_TANK	TRAY_ORD	LENGTH	MASS	RAMP_START_TIME	LOE_TIME	LOE_mean_JMD	LOE_TEMP_SENSOR	LOE_TEMP_HOBO	TEMP_DIFF	SURVIVAL_TIME	HOBO_OFFSET	LOE_TEMP_HOBO_ACTUAL	FIL_TEMP_DIFF	LOE_MEAN_EAS	EXPERIMENT	NOTES		
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	blue	31.5	326	2	1	2	39.10	2.7348	12:13:52 PM	6:27:00 PM			37.233		6:13:08	0.117	37.116		37.116	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	14/07/2023	115		30	154	1			33.54	1.4525	11:30:00 AM	5:44:00 PM					6:14:00				37.120	Resp			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	11/07/2023	112		30	154	1			34.10	1.4385	1:18:00 PM	7:32:00 PM					6:14:00				37.130	Resp			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	blue	28.5	247	1	6	3	35.73	1.8968	11:50:15 AM	6:03:00 PM		37.2	37.142	-0.06	6:12:45	0.055	37.087	-0.113	37.144	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	red	31.5	159	1	6	1	34.95	1.7019	11:50:15 AM	6:03:00 PM		37.2	37.142	-0.06	6:12:45	0.055	37.087	-0.113	37.144	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	12/07/2023	127	white	30	151	2	2	3	32.32	1.3884	12:13:52 PM	6:22:00 PM			37.202		6:08:08	0.057	37.145		37.145	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	6/07/2023	123	blue	31.5	123	2	3	1	28.35	0.9198	11:43:22 AM	5:56:00 PM		37.1	37.315	0.21	6:12:38	0.124	37.191	0.091	37.146	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	6/07/2023	123	blue	31.5	123	2	3	5	33.00	1.5561	11:43:22 AM	5:56:00 PM		37.1	37.315	0.21	6:12:38	0.124	37.191	0.091	37.146	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	6/07/2023	123	blue	31.5	123	2	3	2	36.79	2.1540	11:43:22 AM	5:56:00 PM		37.1	37.315	0.21	6:12:38	0.124	37.191	0.091	37.146	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	blue	28.5	247	1	6	2	25.33	1.6111	11:50:15 AM	6:05:00 PM		37.2	37.151	-0.05	6:14:45	0.055	37.096	-0.104	37.148	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	red	31.5	159	1	6	5	29.81	1.1200	11:50:15 AM	6:05:00 PM		37.2	37.151	-0.05	6:14:45	0.055	37.096	-0.104	37.148	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	red	31.5	159	1	6	4	30.80	1.2566	11:50:15 AM	6:05:00 PM		37.2	37.151	-0.05	6:14:45	0.055	37.096	-0.104	37.148	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	12/07/2023	127	blue	31.5	325	2	2	3	31.27	1.1843	12:13:52 PM	6:22:00 PM			37.206		6:08:08	0.057	37.149		37.149	CTmax			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	red	31.5	360	1	2	3	25.61	0.7151	11:50:15 AM	5:57:00 PM			37.151		6:06:45	0.000	37.151		37.151	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	blue	28.5	140	2	5	2	30.71	1.1477	11:50:15 AM	5:58:00 PM		37.2	37.124	-0.08	6:07:45	0.006	37.118	-0.082	37.159	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	white	30	154	1	5	5	27.55	0.8010	11:50:15 AM	5:58:00 PM		37.2	37.124	-0.08	6:07:45	0.006	37.118	-0.082	37.159	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	red	31.5	326	2	5	1	27.82	0.7603	11:50:15 AM	5:58:00 PM		37.2	37.124	-0.08	6:07:45	0.006	37.118	-0.082	37.159	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	red	31.5	326	2	5	4	27.75	0.9234	11:50:15 AM	5:58:00 PM		37.2	37.124	-0.08	6:07:45	0.006	37.118	-0.082	37.159	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	6/07/2023	123	blue	31.5	123	2	3	4	38.67	2.6338	11:43:22 AM	5:59:00 PM		37.1	37.370	0.27	6:15:38	0.124	37.246	0.146	37.173	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	red	31.5	159	1	6	2	32.24	1.3631	11:50:15 AM	6:09:00 PM			37.233		6:18:45	0.055	37.178		37.178	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	blue	28.5	140	2	5	4	32.75	1.5268	11:50:15 AM	6:02:00 PM		37.2	37.178	-0.02	6:11:45	0.006	37.172	-0.028	37.186	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	red	31.5	326	2	5	3	32.79	1.4155	11:50:15 AM	6:02:00 PM		37.2	37.178	-0.02	6:11:45	0.006	37.172	-0.028	37.186	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	red	31.5	326	2	5	2	32.42	1.4909	11:50:15 AM	6:02:00 PM		37.2	37.178	-0.02	6:11:45	0.006	37.172	-0.028	37.186	CTmax			
